feature,gini_importance,perm_importance_mean,perm_importance_std
AP2DC_39,0.04075593061929182,0.03903879714955135,0.004720288821972864
AP2DC_221,0.0320259234748001,0.05961203072700877,0.006279053218139553
AP2DC_477,0.024495068415420464,0.02369502424194463,0.0022152588786808268
AP2DC_148,0.01968976257746234,0.023688072896600087,0.0011030972834774153
AP2DC_438,0.01861929912122579,0.014188224033400032,0.0018926263241332022
AP2DC_77,0.017856261094902334,0.003285382669073955,0.003479820113862343
AP2DC_218,0.015156808934444163,0.018060057365570047,0.003571838395397528
AP2DC_107,0.014813685382408917,0.007633677487738022,0.003052383999397941
AP2DC_610,0.012495016376531705,0.015584233529002001,0.001707523266576612
AP2DC_280,0.011734942023180555,0.033476231675209765,0.0015644599683261437
AP2DC_156,0.010514810992114485,0.016340906728934956,0.0031922943283730584
AP2DC_138,0.009047983104289267,-0.0019364157889727896,0.002544582418703404
AP2DC_327,0.009029612214282924,-0.0017110484638355628,0.0024342746350057534
AP2DC_703,0.009020698585792401,0.006662693219663019,0.0015831158871033692
AP2DC_566,0.007737842375689935,1.9717344122460732e-05,0.0010096633836975094
AP2DC_632,0.007653827074974048,0.0067050452894855,0.0014538835194252125
AP2DC_29,0.00760435286187222,0.004448673189980057,0.0007633176780135838
AP2DC_717,0.007274517999492405,0.004942502448344,0.001585790966764435
AP2DC_210,0.007181719757136903,0.0047442575077650375,0.000935359143015635
AP2DC_674,0.006815070048113052,-0.003715040718452156,0.0011615447634888089
AP2DC_66,0.006635102876332644,0.004660718097465599,0.0014705615258809176
AP2DC_631,0.006151438619147493,0.0035953405597625165,0.0014119280690011264
AP2DC_40,0.006120838317132718,0.0027134582843251764,0.0011660455849744668
AP2DC_704,0.006093591657409656,0.0024850864166910624,0.002629974518554227
AP2DC_723,0.006079166157223803,-0.0007855352151730499,0.0017949807522210101
AP2DC_130,0.006009642082265655,-0.001931487384666486,0.0008046971880831122
AP2DC_374,0.005385568127506889,0.0051395974798594144,0.0023047636225864473
AP2DC_331,0.005019418164801675,0.00047212304297521434,0.0014774697132159307
AP2DC_145,0.004927370260302724,0.0005196293459849843,0.0008455175386808729
AP2DC_618,0.004926533101719215,0.004219960514326204,0.0011181715588123294
AP2DC_595,0.004882547248728415,0.0026423303338763858,0.0007535455945074635
AP2DC_707,0.00486016776455495,0.0010767333912824139,0.000721351067543857
AP2DC_329,0.004827499496235324,-0.0022642136865873574,0.0010409621486302959
AP2DC_661,0.00472706164216897,6.242490094454656e-05,0.00038234858688542656
AP2DC_506,0.004722610254197282,0.004149779686001198,0.0008848315848851395
AP2DC_121,0.004683147289510863,0.001478276317779137,0.0020979934746546613
AP2DC_386,0.004607833856774133,0.0002942101030205313,0.0007555571026133815
AP2DC_501,0.004550245485153649,0.004297550130416839,0.001146779225401701
AP2DC_155,0.004517136576992482,-0.0001694427597003667,0.0005645881946331084
AP2DC_687,0.004496707609899523,-0.0018626131780440703,0.0016311096769631686
AP2DC_694,0.004467413453285922,0.004456875669868787,0.0011103829213510808
AP2DC_548,0.0044230329137595545,0.0022451609978054845,0.00047294063879247436
AP2DC_3,0.004385204420499817,0.0019672439915035312,0.0009715824148425111
AP2DC_711,0.00421384212090073,-0.0003962415800677022,0.0002968295353457436
AP2DC_716,0.004116845047979522,0.001537750303806662,0.001087089724221324
AP2DC_749,0.004054218251765008,0.002200746984493185,0.0006656089998012904
AP2DC_558,0.0038795781264689727,0.0011011626280902464,0.0006680965824135282
AP2DC_373,0.003867125340313501,0.0036483948061276196,0.0008465525114756545
AP2DC_323,0.0038661502944942376,0.0003330593472462007,0.0010600126947878014
AP2DC_267,0.0037991684410759296,0.0003153038441697675,0.001048239797573544
AP2DC_652,0.0037431374356992537,0.0006785186931040465,0.0009928407648336064
AP2DC_581,0.003704971387083601,-0.00020072065218893487,0.000447617668579474
AP2DC_324,0.0036194582912663833,0.0017353235036681736,0.0006311388006739932
AP2DC_184,0.003550006376584032,0.00039177459197968777,0.0006550724213380203
AP2DC_129,0.003503879867221001,-0.0003833052103287216,0.00041940617158580236
AP2DC_736,0.0034814122450628703,0.0005766723781875816,0.0011543336570958961
AP2DC_186,0.003451821116770048,0.00031887888001315147,0.00040136682566209756
AP2DC_140,0.00344285990039799,-0.0018721855388786125,0.0009659879485438298
AP2DC_555,0.0034286188018623153,0.002005937876281283,0.0009570494442357924
AP2DC_537,0.003427627690801448,0.00018816583167701183,0.0008265241739595661
AP2DC_169,0.003406434189031739,-0.0025933652748250323,0.0011614387812408328
AP2DC_189,0.003402512697338963,0.0017295854047514104,0.0006003148521930204
AP2DC_105,0.0033718578149217232,0.0008265174728054658,0.000592627543510582
AP2DC_557,0.0033224840724538993,-0.00020442325438680965,0.000724786544117602
AP2DC_122,0.0032954461855186083,-0.0009096819750688323,0.0008054794094787527
AP2DC_136,0.0032638180087925643,0.001058637806007734,0.0004203504653644957
AP2DC_195,0.003249111165473757,-0.0011589630377600746,0.00041261938227955055
AP2DC_519,0.0032372766622326267,0.00013884135602189042,0.0007292723363505784
AP2DC_131,0.0032105399634082244,-0.000738669390412472,0.0006369470834553625
AP2DC_2,0.0031826013009929204,0.0012142807144069124,0.00040983791812196856
AP2DC_168,0.0031447340101770343,0.0013929523644054976,0.0006092518922086774
AP2DC_320,0.0031043789283586687,-0.0007847816519273576,0.0009943091600757357
AP2DC_349,0.0031005486871542413,-0.00028822675211949146,0.0008546071689054162
AP2DC_748,0.0030811523121315005,0.000955421660020761,0.0008960243762509985
AP2DC_436,0.0030704784135713063,0.002047900741486275,0.0006070316082368235
AP2DC_96,0.003067943269879,-0.00013241922916871208,0.0011169192878207209
AP2DC_655,0.0030666351305408614,0.0003706368538885285,0.0011763420784460825
AP2DC_615,0.0028915339017062734,0.0018475359015111882,0.0005276234222586137
AP2DC_582,0.002859100882530108,-0.0007150415279904343,0.0005605314950382665
AP2DC_516,0.0028470100832006635,-0.0007151114448028073,0.00047109223529771723
AP2DC_321,0.0028228125753740757,-0.0005029191439390734,0.0006650835096153635
AP2DC_35,0.0028075031820284633,0.00047702435347295457,0.0007032424309285364
AP2DC_5,0.002806808823631039,-0.00039396808044772635,0.0006427842429948039
AP2DC_381,0.002791842839402405,-9.645409350119704e-05,0.0003976974606465411
AP2DC_518,0.0027563208423498882,-0.0012152475482767656,0.001389625582615665
AP2DC_478,0.0027548922098598306,0.00012457152484278699,0.00045548838728084367
AP2DC_78,0.002751150965226426,-0.0004761354977315002,0.0009918678235109667
AP2DC_6,0.0027442165386196192,-0.0004295650606795598,0.0006845377805854244
AP2DC_494,0.002740244419020847,-0.00026535215110293773,0.0012097684152065843
AP2DC_527,0.002732270245736382,-0.0003786620147029129,0.00043049955342287376
AP2DC_589,0.002668214356709632,-0.0008509823812634321,0.0007001684645125884
AP2DC_502,0.0026635613057360767,-0.0001742410892256907,0.00036505860528401223
