Split,Fingerprint,Model,Acc_train,BalAcc_train,F1_train,MCC_train,Acc_CV,BalAcc_CV,F1_CV,MCC_CV,Acc_test,BalAcc_test,F1_test,MCC_test,Time_s
Random,MACCS,Ridge Classifier,0.6021229868228404,0.5937637574441416,0.6034304137929294,0.39645426583031285,0.5618594436310396,0.5508073388943097,0.5614663830373139,0.3346420863074259,0.5395778364116095,0.535775619600868,0.5384441730174961,0.3064331948413079,0.15245389938354492
Random,MACCS,Logistic Reg (L1),0.6112737920937042,0.6052700324327701,0.6141636333314706,0.41300183648034033,0.5655197657393851,0.5587370459193154,0.5686628286049376,0.3440957998792948,0.5593667546174143,0.5554863151005757,0.5590961300394109,0.3354789141019702,30.71456742286682
Random,MACCS,Logistic Reg (EN),0.6105417276720352,0.6042137643607952,0.6134349974298513,0.41167923433426334,0.5666178623718887,0.5596096462683555,0.5697123591849383,0.34557550669574355,0.554089709762533,0.5497391886637941,0.5533116882183742,0.3274499607902992,19.98934817314148
Random,MACCS,Naive Bayes,0.4816983894582723,0.47890842200176764,0.4895719575124822,0.22736861187630136,0.4663250366032211,0.4623833351148003,0.47389579881715654,0.20243228744321456,0.4313984168865435,0.4330464197793245,0.4361798308850732,0.15283161454866737,0.05249190330505371
Random,MACCS,LDA,0.6226207906295754,0.601383690660201,0.6185039376637235,0.4193614457902177,0.578696925329429,0.5572101054698781,0.574785092482132,0.3519865788790574,0.5633245382585752,0.5502100406250027,0.5560412806029751,0.33633811274241926,0.2404632568359375
Random,MACCS,KNN,0.7174231332357247,0.7033539360669546,0.7150572148034652,0.56996968847394,0.5984626647144948,0.5824961605147699,0.5953733143398243,0.3899028220913263,0.6174142480211082,0.6080089110188468,0.6141311967283263,0.42254464268684977,0.27741575241088867
Random,MACCS,SVC (RBF),0.30234260614934116,0.3443817276250882,0.22113976180270073,0.01687459153923028,0.30783308931185943,0.3560799370690047,0.2219414792142349,0.03645286694458218,0.31266490765171506,0.3414315569487983,0.2348793438095624,0.013662948758060862,1.517185926437378
Random,MACCS,SVC (Linear),0.36346998535871156,0.3863932040491192,0.3414736079720372,0.08605980231763925,0.369692532942899,0.38810531189746117,0.3557565280156269,0.08579723260215448,0.35356200527704484,0.37279018792753454,0.3235141444563415,0.0639464964733548,0.9256629943847656
Random,MACCS,Decision Tree,0.8565153733528551,0.8517786627273104,0.857780440813964,0.7830441941730385,0.6035871156661786,0.5953343680875353,0.6070564342483394,0.40197154538471647,0.6121372031662269,0.6077910903305409,0.6141334685196429,0.4167692163300338,0.17612481117248535
Random,MACCS,Random Forest,0.8561493411420205,0.8489731003972927,0.8562040073582897,0.7821437028451432,0.6475109809663251,0.6304227403636025,0.6441046574437562,0.46276511612159327,0.6464379947229552,0.6399933626993827,0.6459369527606534,0.4669339450168641,5.645248174667358
Random,MACCS,Extra Trees,0.8565153733528551,0.8517786627273104,0.857780440813964,0.7830441941730385,0.6456808199121523,0.6302739317754373,0.6449764513566563,0.4608257946289805,0.633245382585752,0.6280304927879445,0.6353451837657632,0.44772893313102097,7.192529678344727
Random,MACCS,Gradient Boosting,0.736090775988287,0.7158221550633996,0.7294129628991989,0.5964121186371224,0.6167642752562226,0.5926862606256579,0.6077495494666941,0.4113046470703874,0.6306068601583114,0.615676047441097,0.6163904464562443,0.44202672050871883,27.128052234649658
Random,MACCS,XGBoost,0.8363836017569546,0.823276569227794,0.8335481468746694,0.7517433615449561,0.633601756954612,0.6154175769236941,0.6304959848709888,0.4399605069788906,0.6477572559366754,0.6371530703208085,0.6405059248032866,0.4670808657150881,4.337523460388184
Random,MACCS,Hist Gradient Boosting,0.8568814055636896,0.8448306565524372,0.8549184653127336,0.782639162257692,0.6321376281112738,0.6143354274067998,0.6287560499714042,0.4383332028960077,0.6358839050131926,0.6247797335465366,0.630454076694399,0.4483177437421853,33.52433204650879
Random,MACCS,AdaBoost,0.5629575402635432,0.5315968933349504,0.5422366305534192,0.325548081593802,0.5538067349926794,0.5232792442053761,0.5317114003538396,0.31213721619483525,0.5303430079155673,0.5127563098632649,0.5085904753796344,0.2875188976570794,5.190019130706787
Random,MACCS,MLP,0.7800146412884333,0.7647739374742061,0.7799877807351583,0.6642462762560704,0.6295754026354319,0.5994485013826901,0.6177934259393406,0.42905887491618744,0.6424802110817942,0.6260404200643827,0.6358848831397066,0.4579196089839296,10.501113653182983
Random,PubChem,Ridge Classifier,0.678623718887262,0.6693128189954276,0.6822901843747595,0.5142333637023951,0.5918740849194729,0.5791453252593148,0.5954587780607885,0.38290516109647965,0.6094986807387863,0.6034268754169397,0.6072894685234534,0.4114549673899267,0.1474611759185791
Random,PubChem,Logistic Reg (L1),0.6885065885797951,0.6828093935762872,0.693810525505106,0.5324855854674788,0.5896778916544656,0.5783124329973475,0.5949108424705652,0.38138326459607574,0.6147757255936676,0.6110088106581385,0.6156067009277724,0.420961725084187,53.232208490371704
Random,PubChem,Logistic Reg (EN),0.6888726207906296,0.6832188939857876,0.6941415431060814,0.5330236674679399,0.5896778916544656,0.5783124329973475,0.5948827623945967,0.38132717415843764,0.6121372031662269,0.6084483053799242,0.6126562806867615,0.41702909869415417,54.5047173500061
Random,PubChem,Naive Bayes,0.4816983894582723,0.4734206447645397,0.48827010112783087,0.22041601222826993,0.4802342606149341,0.47171580756747455,0.4866586784505699,0.21781992963706165,0.4683377308707124,0.4655866926761141,0.4732662202134998,0.20338078754038086,0.09687972068786621
Random,PubChem,LDA,0.674597364568082,0.6590910664643134,0.6759379236211743,0.5042183329293106,0.5918740849194729,0.573005896229725,0.5932652454587494,0.37766241522553307,0.5857519788918206,0.574340929542566,0.5841004457741905,0.372750763521949,0.5072906017303467
Random,PubChem,KNN,0.7258418740849195,0.7113705650517631,0.7217800216186582,0.5840444718393041,0.595900439238653,0.5756757656562338,0.5862911504390348,0.3859901331102689,0.6226912928759895,0.6141997119057317,0.61179800795183,0.4335436968986623,0.3756585121154785
Random,PubChem,SVC (RBF),0.28330893118594436,0.3341300556326463,0.12674659827245904,0.013028992379298268,0.3301610541727672,0.36861408071022045,0.2836628616944413,0.059888805392833255,0.30606860158311344,0.3333333333333333,0.14345033447935823,0.0,3.387669563293457
Random,PubChem,SVC (Linear),0.34699853587115664,0.3599386922095329,0.3454918433140639,0.040016738472702464,0.38396778916544655,0.395668988750127,0.38157610791569707,0.09439970897123172,0.3258575197889182,0.3335598196206028,0.32143314961013136,-8.485175505828271e-05,2.1818573474884033
Random,PubChem,Decision Tree,0.87298682284041,0.8701632904220865,0.8747202967642143,0.8086962626493922,0.6039531478770132,0.5925708355651659,0.6092467745181843,0.4027031730552905,0.6253298153034301,0.6249888675516962,0.6279410125920737,0.4387150128843753,0.41600871086120605
Random,PubChem,Random Forest,0.87298682284041,0.8689463237383915,0.8742242067969832,0.8082624774680006,0.6464128843338214,0.6293802637561963,0.6454672755026376,0.4618819566416661,0.6490765171503958,0.6425911869804329,0.6470128173614487,0.47123509043530215,9.32133436203003
Random,PubChem,Extra Trees,0.87298682284041,0.8701632904220865,0.8747202967642143,0.8086962626493922,0.6416544655929722,0.6279354629665238,0.6435786390806576,0.45622101607338933,0.6490765171503958,0.6434681624629023,0.6503131590641276,0.4714286692317771,10.439162731170654
Random,PubChem,Gradient Boosting,0.7518301610541728,0.7333499104923025,0.7465981151104809,0.6209911116360275,0.6409224011713031,0.6179571726461561,0.6345906308711444,0.4493316482897203,0.633245382585752,0.6201149003603709,0.6202542133659348,0.44585582539537333,64.94538187980652
