Split,Fingerprint,Model,R2_train,RMSE_train,MAE_train,R2_CV,RMSE_CV,MAE_CV,R2_test,RMSE_test,MAE_test,Time_s
Random,MACCS,Ridge,0.3904941014105908,0.9783018715584594,0.7747331078405751,0.3348838356374959,1.0219571328876096,0.808735804930214,0.3471117409140656,1.0457904377276837,0.8276081707606079,0.17235350608825684
Random,MACCS,Lasso,0.06391057619332408,1.2123907022875853,0.9920600611164689,0.06047424460096207,1.214613972799266,0.9935899493365675,0.05549454274904553,1.25784599968114,1.0054565315090813,0.3799772262573242
Random,MACCS,ElasticNet,0.1497841848061069,1.155442977769727,0.9415804269022419,0.14607973338612235,1.1579574159031858,0.9433001456426575,0.13636158258490783,1.2027938908294953,0.9608170849579275,0.27187418937683105
Random,MACCS,Bayesian Ridge,0.3813890503979357,0.9855819230765944,0.7837179741922936,0.33785601550907374,1.0196711853266929,0.8111184576723122,0.33965899880037653,1.051742367606235,0.8333423885964227,1.801283597946167
Random,MACCS,PLS,0.37846430422591526,0.9879090543998665,0.7831728843000918,0.33129676090486393,1.0247092140143714,0.812713962311737,0.3457314349570534,1.0468953347797618,0.82782468262775,0.16173243522644043
Random,MACCS,KNN,0.6068905837232734,0.7856708699721797,0.5802899782550075,0.43563089154498713,0.9413812520001618,0.7153804770563883,0.4882486668857038,0.9258800543606115,0.6998374134846885,0.1931147575378418
Random,MACCS,SVR (RBF),0.584149921541353,0.8080762110772939,0.5720420169095602,0.459108205777357,0.9215929086475024,0.6992715564954649,0.48254306844546646,0.9310271409916477,0.6905188493087582,0.9108395576477051
Random,MACCS,Kernel Ridge (RBF),0.42682664630049816,0.9486956822868338,0.7524851935621057,0.3734350716244986,0.9918978954764356,0.789895939198781,0.38165823580864555,1.0177462890016247,0.7993953272245499,3.796874761581421
Random,MACCS,Decision Tree,0.8240701730198966,0.5255979536572523,0.27992600959767944,0.3253989020939916,1.0292181818763075,0.7542746709336225,0.44811027019294414,0.961504659694683,0.7067190602930596,0.24167513847351074
Random,MACCS,Random Forest,0.7857871995520307,0.5799714794669922,0.4077553863311956,0.5187585072685765,0.8692915549115209,0.6668951292504063,0.5746220081676501,0.8441366285407986,0.6389320994929641,5.532996892929077
