descriptor,H_statistic,p_value,significant,eta_squared,median_active,median_intermediate,median_inactive,active_vs_intermediate,active_vs_inactive,intermediate_vs_inactive
MW,95.29084818656962,2.0316796395600876e-21,True,0.028381760932938736,337.35900000000004,328.36400000000003,311.36000000000007,5.044480611070448e-05,3.2241311126884928e-21,6.583315482894227e-07
LogP,20.941310906918336,2.8356466644703406e-05,True,0.005762491909619208,4.105700000000003,4.114300000000003,3.876820000000002,0.1472833132325368,0.12532097350795762,6.734971083499632e-06
HBA,17.693720189937466,0.00014383264885228946,True,0.004774481347714471,3.0,3.0,3.0,0.001141162826498167,1.0,0.0003826181460369565
HBD,31.982617451603293,1.1351751147509523e-07,True,0.009121575129784999,0.0,0.0,0.0,0.6076323915328726,0.00011632170250806603,8.835310981727497e-07
TPSA,10.524042693988827,0.0051848138115808216,True,0.0025932591098231906,47.900000000000006,43.85,47.900000000000006,0.005258500907412658,0.5377634396734046,0.07151081396187083
RotBonds,6.919291068235702,0.03144090477143351,True,0.001496589920363767,3.0,3.0,3.0,0.20155278736699708,0.02799789287435711,1.0
AromaticRings,15.188317885398018,0.0005033831527746606,True,0.004012265861088536,3.0,2.0,2.0,0.0962778760651686,0.00014034921674242257,0.8839814805199411
FractionCSP3,15.32237501972144,0.00047074806078057654,True,0.004053049899519757,0.2,0.25,0.2857142857142857,0.00465752368550456,0.0007849507555004877,1.0
