feature,sd,mean,is_low_variance
EState_0,0.0,0.0,True
EState_1,0.0,0.0,True
EState_2,0.0,0.0,True
EState_3,0.0,0.0,True
EState_4,0.0,0.0,True
EState_5,0.0,0.0,True
EState_6,0.47619979186497363,0.6526232114467408,False
EState_7,0.10614572355144208,0.011393746687864335,False
EState_8,0.34993483273356696,0.8571807101218866,False
EState_9,0.08582593663750396,0.007419183889772125,True
EState_10,0.4793111101397149,0.3574456809750927,False
EState_11,0.4217320779417051,0.7686804451510334,False
EState_12,0.49499716443764047,0.5710121886592475,False
EState_13,0.0,0.0,True
EState_14,0.3164850309772056,0.11287758346581876,False
EState_15,0.4953335088313037,0.5686274509803921,False
EState_16,0.42206931904046663,0.7681505034446211,False
EState_17,0.38937962292876216,0.18627450980392157,False
EState_18,0.4947274558376333,0.4271330153683095,False
EState_19,0.0,0.0,True
EState_20,0.2680519288453618,0.07790143084260731,False
EState_21,0.0,0.0,True
EState_22,0.02301741188946676,0.0005299417064122947,True
EState_23,0.2926929399519717,0.0945945945945946,False
EState_24,0.23680992933904713,0.05961844197138315,False
EState_25,0.2991898566243301,0.09936406995230525,False
EState_26,0.0,0.0,True
EState_27,0.14493985174342824,0.021462639109697933,False
EState_28,0.4996919194842926,0.5193428722840487,False
EState_29,0.33528952235287046,0.12904080551139374,False
EState_30,0.2137093608848105,0.04795972443031266,False
EState_31,0.4683824310699996,0.32485426603073664,False
EState_32,0.0,0.0,True
EState_33,0.43451386887840576,0.2525172231054584,False
EState_34,0.47899452465121,0.6436142024377318,False
EState_35,0.4864086850194149,0.38394276629570745,False
EState_36,0.2766216754151187,0.0834658187599364,False
EState_37,0.32097025367188137,0.11658717541070482,False
EState_38,0.0,0.0,True
EState_39,0.0,0.0,True
EState_40,0.0,0.0,True
EState_41,0.0,0.0,True
EState_42,0.0,0.0,True
EState_43,0.0,0.0,True
EState_44,0.0,0.0,True
EState_45,0.0,0.0,True
EState_46,0.0,0.0,True
EState_47,0.05630612862877746,0.003179650238473768,True
EState_48,0.028186720111599613,0.000794912559618442,True
EState_49,0.20974012573053483,0.046104928457869634,False
EState_50,0.19847956074314424,0.04107048224695284,False
EState_51,0.0,0.0,True
EState_52,0.3102232992509738,0.10784313725490197,False
EState_53,0.2970485184804997,0.09777424483306836,False
EState_54,0.0,0.0,True
EState_55,0.0,0.0,True
EState_56,0.0,0.0,True
EState_57,0.0,0.0,True
EState_58,0.0,0.0,True
EState_59,0.0,0.0,True
EState_60,0.0,0.0,True
EState_61,0.0,0.0,True
EState_62,0.0,0.0,True
EState_63,0.0,0.0,True
EState_64,0.0,0.0,True
EState_65,0.0162779253348253,0.00026497085320614734,True
EState_66,0.0,0.0,True
EState_67,0.0,0.0,True
EState_68,0.0,0.0,True
EState_69,0.22563090925630783,0.05378908320084791,False
EState_70,0.0,0.0,True
EState_71,0.0,0.0,True
EState_72,0.0,0.0,True
EState_73,0.0,0.0,True
EState_74,0.060801401459995116,0.0037095919448860626,True
EState_75,0.0,0.0,True
EState_76,0.0,0.0,True
EState_77,0.0,0.0,True
EState_78,0.0,0.0,True
