molecule_chembl_id,molecule_pref_name,canonical_smiles,standard_type,standard_relation,standard_value,standard_units,pchembl_value,assay_chembl_id,assay_description,assay_type,target_chembl_id,target_pref_name,target_organism,document_chembl_id,document_journal,document_year,activity_id,inchi_key,bioactivity_class
CHEMBL103040,,O=C(Cc1ccncc1)OC1=CC2CCC1C2,IC50,=,605.0,nM,6.265,CHEMBL663239,In vitro inhibition of human placental Cytochrome P450 19A1.,B,CHEMBL1978,Aromatase,Homo sapiens,CHEMBL1125012,J Med Chem,1990,1207190,PFEGXRRLJGZVRH-UHFFFAOYSA-N,intermediate
CHEMBL103685,,CC(C)(C(=O)OC1CCCCC1)c1ccncc1,IC50,=,225369659.03,nM,4.89,CHEMBL663239,In vitro inhibition of human placental Cytochrome P450 19A1.,B,CHEMBL1978,Aromatase,Homo sapiens,CHEMBL1125012,J Med Chem,1990,1203180,KEEFXNAGBDWRRT-UHFFFAOYSA-N,inactive
CHEMBL104,CLOTRIMAZOLE,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,IC50,=,1.8,nM,8.74,CHEMBL1105634,Inhibition of human placental microsome CYP19,B,CHEMBL1978,Aromatase,Homo sapiens,CHEMBL1157768,Bioorg Med Chem Lett,2010,3290703,VNFPBHJOKIVQEB-UHFFFAOYSA-N,active
CHEMBL104047,,O=C(Cc1ccncc1)OC12CC3CC(CC(C3)C1)C2,IC50,=,88.96000000000001,nM,7.05,CHEMBL663239,In vitro inhibition of human placental Cytochrome P450 19A1.,B,CHEMBL1978,Aromatase,Homo sapiens,CHEMBL1125012,J Med Chem,1990,1191423,HTBIQTFNBKFLKU-UHFFFAOYSA-N,active
CHEMBL104126,,CC(C)CC(C)OC(=O)Cc1ccncc1,IC50,=,9702.55,nM,5.01,CHEMBL663239,In vitro inhibition of human placental Cytochrome P450 19A1.,B,CHEMBL1978,Aromatase,Homo sapiens,CHEMBL1125012,J Med Chem,1990,1190186,LCGYDQQWQVOYFJ-UHFFFAOYSA-N,inactive
CHEMBL104566,,CC1CCC(OC(=O)Cc2ccncc2)C1,IC50,=,1999.93,nM,5.7,CHEMBL663239,In vitro inhibition of human placental Cytochrome P450 19A1.,B,CHEMBL1978,Aromatase,Homo sapiens,CHEMBL1125012,J Med Chem,1990,1199001,YRQXIKNMAZJCOC-UHFFFAOYSA-N,inactive
CHEMBL105044,,CC1(OC(=O)Cc2ccncc2)CCCCC1,IC50,=,3200.0,nM,5.5,CHEMBL663239,In vitro inhibition of human placental Cytochrome P450 19A1.,B,CHEMBL1978,Aromatase,Homo sapiens,CHEMBL1125012,J Med Chem,1990,1193895,RSBZGEGXWDBCEX-UHFFFAOYSA-N,inactive
CHEMBL105289,,O=C(Cc1ccncc1)OC1CCCC1,IC50,=,2300.7200000000003,nM,5.64,CHEMBL663239,In vitro inhibition of human placental Cytochrome P450 19A1.,B,CHEMBL1978,Aromatase,Homo sapiens,CHEMBL1125012,J Med Chem,1990,1222725,WRJKRKBRDCTLLB-UHFFFAOYSA-N,inactive
CHEMBL105298,,CC1CCC(C(C)C)C(OC(=O)Cc2ccncc2)C1,IC50,=,275.0,nM,6.565,CHEMBL663239,In vitro inhibition of human placental Cytochrome P450 19A1.,B,CHEMBL1978,Aromatase,Homo sapiens,CHEMBL1125012,J Med Chem,1990,1187386,LMEZSWOUANEVQS-UHFFFAOYSA-N,intermediate
CHEMBL106,FLUCONAZOLE,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,IC50,=,22000.0,nM,4.66,CHEMBL4056603,Inhibition of CYP19 in human hepatocyte microsomes using testosterone substrate by HPLC/MS/MS method,A,CHEMBL1978,Aromatase,Homo sapiens,CHEMBL4052712,Bioorg Med Chem Lett,2017,18261053,RFHAOTPXVQNOHP-UHFFFAOYSA-N,inactive
CHEMBL1077603,,C[C@]12CC[C@H](O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,IC50,=,168.60333333333332,nM,6.776666666666666,CHEMBL2061394,Inhibition of aromatase in human placental microsomes using [1beta-3H]androstenedione as substrate after 15 mins by liquid scintillation counting,B,CHEMBL1978,Aromatase,Homo sapiens,CHEMBL2057175,J Med Chem,2012,10957357,VMYTXBKVYDESSJ-USOAJAOKSA-N,intermediate
CHEMBL1077603,,C[C@]12CC[C@H](O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,Ki,=,100.0,nM,7.0,CHEMBL2061396,Inhibition of aromatase in human microsomes using [1beta-3H]androstenedione as substrate after 5 mins by Dixon plot analysis,B,CHEMBL1978,Aromatase,Homo sapiens,CHEMBL2057175,J Med Chem,2012,10957974,VMYTXBKVYDESSJ-USOAJAOKSA-N,intermediate
CHEMBL1078534,ANDROSTENEDONE,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,IC50,=,553.2833333333333,nM,6.293333333333334,CHEMBL661697,In vitro inhibitory activity against Cytochrome P450 19A1 in human placental microsomes,B,CHEMBL1978,Aromatase,Homo sapiens,CHEMBL1129505,J Med Chem,1996,912855,LUJVUUWNAPIQQI-QAGGRKNESA-N,intermediate
CHEMBL1078534,ANDROSTENEDONE,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,Ki,=,339.0,nM,6.678,CHEMBL661762,Binding affinity was measured on Cytochrome P450 19A1,B,CHEMBL1978,Aromatase,Homo sapiens,CHEMBL1124997,J Med Chem,1990,597201,LUJVUUWNAPIQQI-QAGGRKNESA-N,intermediate
CHEMBL1079595,,C[C@]12CC[C@@H]3c4cc(Cl)c(O)cc4CC[C@H]3[C@@H]1CCC2=O,IC50,=,2301.44,nM,5.64,CHEMBL5241253,Inhibition of aromatase in human placental microsomes using [1beta-3H]AD as substrate incubated for 20 mins in presence of NADPH,B,CHEMBL1978,Aromatase,Homo sapiens,CHEMBL5241054,Eur J Med Chem,2020,25029601,CESQEGKZVXLYKV-JPVZDGGYSA-N,inactive
CHEMBL1079595,,C[C@]12CC[C@@H]3c4cc(Cl)c(O)cc4CC[C@H]3[C@@H]1CCC2=O,Ki,=,100.0,nM,7.0,CHEMBL3755859,Competitive inhibition of human aromatase extracted from placental microsomes after 5 mins by Dixon plot analysis in presence of [1beta-3H]AD,B,CHEMBL1978,Aromatase,Homo sapiens,CHEMBL3751755,Eur J Med Chem,2015,16434039,CESQEGKZVXLYKV-JPVZDGGYSA-N,intermediate
CHEMBL1082760,,c1ccc(Oc2ccccc2Cn2ccnc2)cc1,IC50,=,389.2,nM,6.41,CHEMBL1118851,Inhibition of aromatase from human placental microsomes,B,CHEMBL1978,Aromatase,Homo sapiens,CHEMBL1155447,J Med Chem,2010,3302062,DFVDKHRBBOONAK-UHFFFAOYSA-N,intermediate
CHEMBL1083353,,O=c1c2ccccc2sc2c(Cn3ccnc3)cccc12,IC50,=,3.98,nM,8.4,CHEMBL1118851,Inhibition of aromatase from human placental microsomes,B,CHEMBL1978,Aromatase,Homo sapiens,CHEMBL1155447,J Med Chem,2010,3302042,QHPHZBRQVQYOFQ-UHFFFAOYSA-N,active
CHEMBL1083354,,O=c1c2ccccc2oc2ccc(Cn3ccnc3)cc12,IC50,=,7900.0,nM,5.1,CHEMBL1118851,Inhibition of aromatase from human placental microsomes,B,CHEMBL1978,Aromatase,Homo sapiens,CHEMBL1155447,J Med Chem,2010,3302067,FWPREHSGJHCERR-UHFFFAOYSA-N,inactive
CHEMBL1083652,,O=c1c2ccccc2oc2cccc(Cn3ccnc3)c12,IC50,=,150.0,nM,6.82,CHEMBL1118851,Inhibition of aromatase from human placental microsomes,B,CHEMBL1978,Aromatase,Homo sapiens,CHEMBL1155447,J Med Chem,2010,3302061,FJYGKMHQKKRCON-UHFFFAOYSA-N,intermediate
CHEMBL1083653,,O=[N+]([O-])c1ccc(Cn2ccnc2)c(Oc2ccccc2)c1,IC50,=,11.725,nM,7.93,CHEMBL1118851,Inhibition of aromatase from human placental microsomes,B,CHEMBL1978,Aromatase,Homo sapiens,CHEMBL1155447,J Med Chem,2010,3302049,JIPGEBKJKOMJSL-UHFFFAOYSA-N,active
CHEMBL1083663,,O=c1c2ccccc2oc2c(Cn3ccnc3)cc([N+](=O)[O-])cc12,IC50,=,53.0,nM,7.28,CHEMBL1118851,Inhibition of aromatase from human placental microsomes,B,CHEMBL1978,Aromatase,Homo sapiens,CHEMBL1155447,J Med Chem,2010,3302059,FTWURRJWFIOKBA-UHFFFAOYSA-N,active
CHEMBL1083664,,O=c1c2ccccc2oc2c(Cn3ccnc3)c([N+](=O)[O-])ccc12,IC50,=,1900.0,nM,5.72,CHEMBL1118851,Inhibition of aromatase from human placental microsomes,B,CHEMBL1978,Aromatase,Homo sapiens,CHEMBL1155447,J Med Chem,2010,3302065,SRBZAHSXFAWSRK-UHFFFAOYSA-N,inactive
CHEMBL1083665,,O=c1c2ccccc2sc2c(Cn3ccnc3)ccc([N+](=O)[O-])c12,IC50,=,16.5,nM,7.78,CHEMBL1118851,Inhibition of aromatase from human placental microsomes,B,CHEMBL1978,Aromatase,Homo sapiens,CHEMBL1155447,J Med Chem,2010,3302050,OCFFNJCKSSDREB-UHFFFAOYSA-N,active
CHEMBL1083970,,O=c1c2cccnc2oc2c(Cn3ccnc3)ccc([N+](=O)[O-])c12,IC50,=,101.0,nM,7.0,CHEMBL1118851,Inhibition of aromatase from human placental microsomes,B,CHEMBL1978,Aromatase,Homo sapiens,CHEMBL1155447,J Med Chem,2010,3302060,BRQYHOBZNRVSFJ-UHFFFAOYSA-N,intermediate
CHEMBL1083971,,O=c1c2ccccc2oc2c(Cn3ccnc3)cccc12,IC50,=,17.0,nM,7.77,CHEMBL1118851,Inhibition of aromatase from human placental microsomes,B,CHEMBL1978,Aromatase,Homo sapiens,CHEMBL1155447,J Med Chem,2010,3302051,SWNOXHJBMDOXFE-UHFFFAOYSA-N,active
CHEMBL108425,,N#Cc1ccc(N(Cc2ccc(Br)cc2)n2cnnc2)cc1,IC50,=,0.34,nM,9.54,CHEMBL661701,In vitro inhibition of [1-beta-3H]-androstenedione binding to Cytochrome P450 19A1 of JEG-3 human placental carcinoma cells,B,CHEMBL1978,Aromatase,Homo sapiens,CHEMBL1136793,J Med Chem,2003,615696,GGPPBTSXFROGAE-UHFFFAOYSA-N,active
CHEMBL108483,,N#Cc1ccc(N(Cc2ccc(OS(N)(=O)=O)c(Br)c2)n2cnnc2)cc1,IC50,=,0.82,nM,9.09,CHEMBL661701,In vitro inhibition of [1-beta-3H]-androstenedione binding to Cytochrome P450 19A1 of JEG-3 human placental carcinoma cells,B,CHEMBL1978,Aromatase,Homo sapiens,CHEMBL1136793,J Med Chem,2003,611773,GHDKYBCUDPSXGJ-UHFFFAOYSA-N,active
