molecule_chembl_id,pchembl_value,activity_class
CHEMBL5411472,8.36,Active
CHEMBL3623218,6.005,Intermediate
CHEMBL1098382,9.0,Active
CHEMBL319160,5.4,Intermediate
CHEMBL488,5.087619047619048,Intermediate
CHEMBL3753307,7.17,Active
CHEMBL4592407,7.52,Active
CHEMBL105289,5.64,Intermediate
CHEMBL3980889,6.0,Intermediate
CHEMBL148903,4.845000000000001,Inactive
CHEMBL2430508,5.89,Intermediate
CHEMBL3753352,6.15,Intermediate
CHEMBL5424344,5.52,Intermediate
CHEMBL88412,6.026666666666667,Intermediate
CHEMBL344904,7.8,Active
CHEMBL132530,6.444166666666668,Intermediate
CHEMBL319961,7.92,Active
CHEMBL13784,7.22,Active
CHEMBL1630272,6.07,Intermediate
CHEMBL3941042,4.9,Inactive
CHEMBL5281289,7.16,Active
CHEMBL8498,6.6,Active
CHEMBL3753620,7.35,Active
CHEMBL98685,8.52,Active
CHEMBL204039,7.739999999999999,Active
CHEMBL3793091,5.3,Intermediate
CHEMBL3805814,8.22,Active
CHEMBL130546,6.61,Active
CHEMBL24580,5.96,Intermediate
CHEMBL5279329,6.16,Intermediate
CHEMBL1957215,5.59,Intermediate
CHEMBL226892,9.11,Active
CHEMBL3931836,5.91,Intermediate
CHEMBL69011,4.66,Inactive
CHEMBL3805149,7.38,Active
CHEMBL5270074,6.85,Active
CHEMBL4514728,6.98,Active
CHEMBL268918,8.11,Active
CHEMBL135115,6.82,Active
CHEMBL2312965,5.48,Intermediate
CHEMBL272464,4.76,Inactive
CHEMBL3938615,6.1,Intermediate
CHEMBL522089,5.88,Intermediate
CHEMBL5278675,5.24,Intermediate
CHEMBL25588,6.46,Intermediate
CHEMBL484584,6.28,Intermediate
CHEMBL3623221,4.545,Inactive
CHEMBL226999,9.4,Active
CHEMBL225550,7.21,Active
CHEMBL224391,7.74,Active
CHEMBL204184,5.6,Intermediate
CHEMBL3099683,5.96,Intermediate
CHEMBL123494,5.39,Intermediate
CHEMBL5266933,6.57,Active
CHEMBL368305,5.33,Intermediate
CHEMBL220774,6.54,Active
CHEMBL4454152,6.35,Intermediate
CHEMBL316262,5.18,Intermediate
CHEMBL5404063,7.42,Active
CHEMBL5433532,6.42,Intermediate
CHEMBL162496,7.82,Active
CHEMBL1957223,7.45,Active
CHEMBL5281465,4.52,Inactive
CHEMBL3753667,8.09,Active
CHEMBL2336861,7.67,Active
CHEMBL5278102,5.77,Intermediate
CHEMBL5432961,6.39,Intermediate
CHEMBL3422041,7.77,Active
CHEMBL4526798,7.36,Active
CHEMBL202231,7.22,Active
CHEMBL98537,7.470000000000001,Active
CHEMBL151691,4.9,Inactive
CHEMBL226841,7.62,Active
CHEMBL1688913,5.43,Intermediate
CHEMBL317221,4.79,Inactive
CHEMBL5418690,6.49,Intermediate
CHEMBL2431525,4.33,Inactive
CHEMBL592376,6.75,Active
CHEMBL2113619,5.43,Intermediate
CHEMBL5412790,8.89,Active
CHEMBL1825018,4.92,Inactive
CHEMBL5395333,5.41,Intermediate
CHEMBL3752480,7.77,Active
CHEMBL455593,6.12,Intermediate
CHEMBL5282836,4.66,Inactive
CHEMBL5407335,6.81,Active
CHEMBL5282019,4.7,Inactive
CHEMBL353068,4.29,Inactive
CHEMBL3753611,7.79,Active
CHEMBL1630267,6.96,Active
CHEMBL3752174,8.01,Active
CHEMBL5398403,5.6,Intermediate
CHEMBL5291270,5.4,Intermediate
CHEMBL1825031,5.21,Intermediate
CHEMBL5282873,5.31,Intermediate
CHEMBL1630265,5.44,Intermediate
CHEMBL1957218,7.11,Active
CHEMBL5285644,5.15,Intermediate
CHEMBL3622061,8.28,Active
CHEMBL5430737,7.3,Active
CHEMBL5436006,8.41,Active
CHEMBL283196,6.43,Intermediate
CHEMBL416616,7.21,Active
CHEMBL5403786,6.57,Active
CHEMBL3422038,6.48,Intermediate
CHEMBL3752149,6.84,Active
CHEMBL113739,6.73,Active
CHEMBL165,4.38,Inactive
CHEMBL5409753,5.03,Intermediate
CHEMBL44,4.0,Inactive
CHEMBL4161859,6.1,Intermediate
CHEMBL14192,6.82,Active
CHEMBL3753258,4.52,Inactive
CHEMBL1094428,6.99,Active
CHEMBL3799189,4.91,Inactive
CHEMBL491010,4.88,Inactive
CHEMBL397728,8.14,Active
CHEMBL458188,4.51,Inactive
CHEMBL3622069,8.64,Active
CHEMBL2336850,7.33,Active
CHEMBL4583456,7.04,Active
CHEMBL158984,7.0,Active
CHEMBL4852023,5.43,Intermediate
CHEMBL4526477,7.1,Active
CHEMBL5549760,6.19,Intermediate
CHEMBL1397,5.08,Intermediate
CHEMBL4568316,4.96,Inactive
CHEMBL56367,4.57,Inactive
CHEMBL5290133,7.02,Active
CHEMBL5430347,7.64,Active
CHEMBL1688898,6.9,Active
CHEMBL3752155,7.14,Active
CHEMBL1825021,5.39,Intermediate
CHEMBL444844,5.22,Intermediate
CHEMBL519937,8.14,Active
CHEMBL2165324,6.02,Intermediate
CHEMBL2443361,6.08,Intermediate
CHEMBL5277901,5.46,Intermediate
CHEMBL313485,5.5,Intermediate
CHEMBL48160,7.2,Active
CHEMBL1629802,7.42,Active
CHEMBL5419141,4.92,Inactive
CHEMBL243755,7.59,Active
CHEMBL2282053,5.04,Intermediate
CHEMBL3753736,5.0,Intermediate
CHEMBL351167,5.96,Intermediate
CHEMBL413344,4.42,Inactive
CHEMBL25059,8.85,Active
CHEMBL1172842,4.31,Inactive
CHEMBL5285990,5.76,Intermediate
CHEMBL5399600,6.77,Active
CHEMBL98105,8.33,Active
CHEMBL27467,7.525,Active
CHEMBL3800417,6.28,Intermediate
CHEMBL165342,5.13,Intermediate
CHEMBL1630910,6.18,Intermediate
CHEMBL2430196,5.58,Intermediate
CHEMBL2311169,6.175,Intermediate
CHEMBL415753,4.75,Inactive
CHEMBL509962,5.48,Intermediate
CHEMBL3805310,7.62,Active
CHEMBL5282717,4.55,Inactive
CHEMBL387386,5.76,Intermediate
CHEMBL336616,7.03,Active
CHEMBL3754425,6.92,Active
CHEMBL220793,6.48,Intermediate
CHEMBL5072101,7.46,Active
CHEMBL92065,5.37,Intermediate
CHEMBL3798461,6.96,Active
CHEMBL281947,7.158,Active
CHEMBL5271144,6.68,Active
CHEMBL244795,6.25,Intermediate
CHEMBL3623221,5.82,Intermediate
CHEMBL5283707,5.58,Intermediate
CHEMBL3923127,5.11,Intermediate
CHEMBL4575994,7.26,Active
CHEMBL39661,6.62,Active
CHEMBL5269083,5.18,Intermediate
CHEMBL2430497,4.9,Inactive
CHEMBL5426628,7.01,Active
CHEMBL3752166,5.675000000000001,Intermediate
CHEMBL3968178,5.42,Intermediate
CHEMBL3752336,7.44,Active
CHEMBL3754296,6.96,Active
CHEMBL1784798,6.61,Active
CHEMBL3753810,8.33,Active
CHEMBL24897,7.2,Active
CHEMBL2112739,6.0,Intermediate
CHEMBL175091,7.82,Active
CHEMBL2430197,5.5,Intermediate
CHEMBL225079,6.96,Active
CHEMBL5410695,7.73,Active
