molecule_chembl_id,CDKGraph_41,CDKGraph_104,CDKGraph_189,CDKGraph_264,CDKGraph_303,CDKGraph_497,CDKGraph_806,CDKGraph_977,CDKGraph_1017
CHEMBL1171991,0,0,0,1,0,0,0,0,0
CHEMBL1172396,0,0,0,0,0,0,0,0,0
CHEMBL1172400,0,0,0,0,0,0,0,0,0
CHEMBL1172401,0,0,0,0,0,0,0,0,0
CHEMBL1172402,0,0,0,0,0,0,0,0,0
CHEMBL1172779,0,0,0,0,0,0,0,0,0
CHEMBL1172842,0,0,0,1,0,0,0,0,0
CHEMBL1172847,0,0,0,1,0,0,0,0,0
CHEMBL1172882,0,0,0,0,0,0,0,0,0
CHEMBL1172907,0,0,0,0,0,0,0,0,0
CHEMBL1172908,0,0,0,0,0,0,0,0,0
CHEMBL1172937,0,0,0,0,0,0,0,0,0
CHEMBL1172973,0,0,0,0,0,0,0,0,0
CHEMBL1172974,0,0,0,0,0,0,0,0,0
CHEMBL1173001,0,0,0,0,0,0,0,0,0
CHEMBL1173002,0,0,0,0,0,0,0,0,0
CHEMBL1173003,0,0,0,0,0,0,0,0,0
CHEMBL1173065,0,0,0,1,0,0,0,0,0
CHEMBL1173066,0,0,0,1,0,0,0,0,0
CHEMBL1173067,0,0,0,1,0,0,0,0,0
CHEMBL1173129,0,0,0,0,1,1,0,0,0
CHEMBL1173130,0,0,0,0,1,1,0,0,0
CHEMBL1173131,0,0,0,0,0,0,0,0,0
CHEMBL1173259,0,0,0,1,0,0,0,0,0
CHEMBL1173260,0,0,0,0,0,0,0,0,0
CHEMBL1173326,0,0,0,1,0,0,0,0,0
CHEMBL1173327,0,0,0,0,0,0,0,0,0
CHEMBL1173335,0,0,0,1,0,0,0,0,0
CHEMBL1173509,0,0,0,0,0,0,0,0,0
CHEMBL1173573,0,0,0,0,0,0,0,0,0
CHEMBL1173574,0,0,0,0,0,0,0,0,0
CHEMBL1173611,0,0,0,0,0,0,0,0,0
CHEMBL1173641,0,0,0,0,0,0,0,0,0
CHEMBL1173699,0,0,0,0,0,0,0,0,0
CHEMBL1173700,0,0,0,1,0,0,0,0,0
CHEMBL118266,0,0,0,0,1,0,1,0,0
CHEMBL1191848,0,0,0,0,1,0,0,0,0
CHEMBL1195457,0,0,0,1,0,0,0,0,0
CHEMBL1200374,1,1,1,1,1,1,1,1,1
CHEMBL1200374,1,1,1,1,1,1,1,1,1
CHEMBL1203757,0,0,0,1,1,1,0,0,0
CHEMBL1203760,0,0,0,1,1,1,0,0,0
CHEMBL1203762,0,0,0,1,1,1,1,0,0
CHEMBL1203766,0,0,0,1,1,1,0,0,0
CHEMBL1214660,0,0,0,0,0,0,0,0,0
CHEMBL1214735,0,0,0,0,1,0,0,0,0
CHEMBL1214736,0,0,0,0,1,0,0,0,0
CHEMBL1214737,0,0,0,0,1,1,0,0,0
CHEMBL1214739,0,0,0,0,0,0,0,0,0
CHEMBL1215664,0,0,0,1,0,0,0,0,0
CHEMBL1215665,0,0,0,0,0,0,0,0,0
CHEMBL1215730,0,0,0,0,0,0,0,0,0
CHEMBL1215732,0,0,0,0,0,0,0,0,0
CHEMBL1230438,1,1,1,1,1,1,1,1,1
CHEMBL123494,0,1,1,1,0,0,0,1,1
CHEMBL124118,0,1,1,1,0,0,0,1,1
CHEMBL124230,0,1,1,1,0,0,0,1,1
CHEMBL129795,0,0,0,1,0,0,0,0,0
CHEMBL129795,0,0,0,1,0,0,0,0,0
CHEMBL129883,1,1,1,1,1,1,1,1,1
CHEMBL1303900,0,1,0,1,1,0,0,1,1
CHEMBL130546,1,1,1,1,1,1,1,1,1
CHEMBL131414,1,1,1,1,1,1,1,1,1
CHEMBL131921,0,0,0,1,0,0,0,0,0
CHEMBL131921,0,0,0,1,0,0,0,0,0
CHEMBL131984,0,1,0,1,0,1,0,1,1
CHEMBL132066,0,1,0,1,0,1,0,1,1
CHEMBL132072,0,1,0,1,0,1,0,1,1
CHEMBL132380,0,1,1,1,0,1,0,1,1
CHEMBL132530,1,1,1,1,1,1,1,1,1
CHEMBL132530,1,1,1,1,1,1,1,1,1
CHEMBL132530,1,1,1,1,1,1,1,1,1
CHEMBL132563,1,1,1,1,1,1,1,1,1
CHEMBL132929,0,0,0,1,1,0,0,0,0
CHEMBL133026,0,0,1,1,0,0,0,1,1
CHEMBL133079,0,0,1,1,0,0,0,1,1
CHEMBL133081,0,0,0,1,0,0,0,0,0
CHEMBL133082,0,0,1,1,0,0,0,1,1
CHEMBL133145,0,0,0,1,1,0,0,0,0
CHEMBL133198,0,0,1,1,1,0,0,1,1
CHEMBL133240,1,1,1,1,1,1,1,1,1
CHEMBL133724,0,1,0,1,0,1,0,1,1
CHEMBL134169,0,1,1,1,0,0,0,1,1
CHEMBL134442,1,1,1,1,1,1,1,1,1
CHEMBL134509,0,1,1,1,0,0,0,1,1
CHEMBL134748,0,1,0,1,0,1,0,1,1
CHEMBL135037,0,1,1,0,0,0,0,1,1
CHEMBL135063,0,0,0,1,1,0,0,0,0
CHEMBL135070,0,1,0,1,0,1,0,1,1
CHEMBL135095,1,1,1,1,1,1,1,1,1
CHEMBL135115,0,0,1,1,0,0,0,1,1
CHEMBL1351273,0,1,0,1,1,0,0,1,1
CHEMBL135172,0,0,1,1,1,0,0,1,1
CHEMBL135340,0,0,0,1,1,0,0,0,0
CHEMBL135378,0,0,1,1,1,0,0,1,1
CHEMBL135381,0,0,0,1,1,0,0,0,0
CHEMBL135396,0,0,1,1,0,0,0,1,1
CHEMBL135494,0,0,0,1,1,0,0,0,0
CHEMBL135540,0,0,1,1,1,0,0,1,1
CHEMBL135563,0,0,0,1,1,0,0,0,0
CHEMBL135595,0,0,0,1,1,0,0,1,1
CHEMBL135606,0,0,0,1,1,0,0,0,0
CHEMBL135633,0,0,1,1,0,0,0,1,1
CHEMBL135709,0,1,1,1,0,0,0,1,1
CHEMBL1358,1,1,1,1,1,1,1,1,1
CHEMBL135921,0,0,1,1,1,0,0,1,1
CHEMBL137001,0,0,1,1,1,0,0,1,1
CHEMBL137002,0,0,0,1,1,0,0,0,0
