molecule_chembl_id,EStateC_6,EStateC_8,EStateC_10,EStateC_11,EStateC_12,EStateC_14,EStateC_15,EStateC_16,EStateC_17,EStateC_18,EStateC_20,EStateC_23,EStateC_24,EStateC_25,EStateC_28,EStateC_29,EStateC_31,EStateC_33,EStateC_34,EStateC_35,EStateC_36,EStateC_37,EStateC_52,EStateC_53,EStateC_69
CHEMBL10026,0.0,0.0,1.8865277777777776,24.37746672819725,-0.4150321239606953,0.0,0.6329771352985638,3.116796369782481,0.0,0.0,0.0,0.0,0.0,0.0,4.025198117061843,0.0,0.0,0.0,13.040917894935752,6.168481434240363,0.0,0.0,0.0,0.0,0.0
CHEMBL100615,4.620027589830045,6.62966006118593,1.9581237086937289,8.084033971613337,1.820713587508771,0.0,2.011934572973622,1.9755951301868069,0.0,-0.0850385195588081,0.0,2.875650481790002,0.0,0.0,0.0,0.0,0.0,0.0,36.9405215372155,0.0,0.0,0.0,0.0,0.0,3.1827310416164094
CHEMBL10072,0.0,0.0,1.8865277777777776,24.37746672819725,-0.4150321239606953,0.0,0.6329771352985638,3.116796369782481,0.0,0.0,0.0,0.0,0.0,0.0,4.025198117061843,0.0,0.0,0.0,13.040917894935752,6.168481434240363,0.0,0.0,0.0,0.0,0.0
CHEMBL100749,1.880829287255153,0.0,0.0,17.097719478737996,-0.0888271604938273,0.0,0.0,2.863404614932393,1.839143763472468,0.0,0.0,0.0,0.0,0.0,16.578071741892693,0.0,3.5905707252036616,0.0,0.0,0.0,0.0,0.0,0.0,6.016865326777243,0.0
CHEMBL101323,4.563055529310489,7.687675710716386,0.0,0.0,1.8359301776266053,0.0,2.47625455351894,0.0,0.0,0.0442983906525575,6.170747603825481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.38870470101621,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL10137,1.5930789664649554,0.0,1.8698929988662127,22.16272225709996,-0.4754894179894182,0.0,0.555217781557068,3.56737268106406,0.0,0.0,0.0,0.0,0.0,0.0,4.030397875539574,0.0,0.0,0.0,13.19973072562358,11.497076131774003,0.0,0.0,0.0,0.0,0.0
CHEMBL101540,4.45700804936172,9.423599825732762,2.0035156053162004,0.0,2.010542800453514,0.0,2.323309279730412,0.0,0.0,0.2188779446963973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.449107011631813,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL101595,4.545549716028386,10.802279751406736,2.016848938649534,0.0,2.0539687263794404,0.0,2.3586102056563374,0.0,0.0,0.2627177028218697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.46002495905769,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL101743,2.236549299042431,6.058034956649224,0.0,7.119666159290978,0.974339819898982,0.0,-0.1100477135298561,0.9696705194423452,0.0,0.0,0.0,0.0,0.0,0.0,3.9339424927155946,0.0,0.0,0.0,11.78911147329302,5.528732993197279,0.0,0.0,0.0,0.0,0.0
CHEMBL101893,4.754666742755668,7.533497195026204,1.946595584399968,0.0,2.292014820588728,0.0,1.5060091137584837,0.0,0.0,0.2546881298815819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.89693712426702,5.831810357426564,0.0,0.0,0.0,0.0,7.150447598562453
CHEMBL101947,4.949427962543042,9.600698958595784,6.01994708994709,0.0,2.6295649092970512,0.0,1.6298973686696905,0.0,0.0,0.8131859804106827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.690611063869994,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL102409,0.0,6.071431489836522,0.0,7.09395313681028,0.1556363378684802,0.0,-0.1128703703703701,0.9683420729402872,0.0,0.0,0.0,0.0,0.0,0.0,3.916231255817295,0.0,0.0,0.0,11.638044217687074,5.435898526077098,0.0,0.0,0.0,0.0,0.0
CHEMBL102510,3.6754938271604938,0.3201388888888887,0.0,6.94359977324263,-0.0469099584278163,0.0,-0.1933333333333331,0.9311574074074076,0.0,0.0,0.0,0.0,0.0,0.0,3.861488882590073,0.0,0.0,0.0,11.180243764172335,4.9947874149659865,0.0,0.0,0.0,0.0,0.0
CHEMBL102536,6.965396622377142,3.838845196059752,0.0,7.163249296632233,0.788715304022843,0.0,-0.1057638888888885,0.9699718915343916,0.0,0.4307377488032249,0.0,0.0,0.0,0.0,3.9650132678568815,0.0,0.0,0.0,12.155366591080876,5.828467970521542,0.0,0.0,0.0,0.0,0.0
CHEMBL102884,6.897147897127293,4.683700908604182,0.0,7.128798390695938,0.8616546347137968,0.0,-0.1153623393801961,0.9660902725287648,0.0,0.3670808715027692,0.0,0.0,0.0,0.0,3.947512923353333,0.0,0.0,0.0,11.916474513416478,5.596901927437642,0.0,0.0,0.0,0.0,0.0
CHEMBL102981,1.8893780706727137,5.68128811304136,0.0,7.151823507180651,-0.0551261337868491,0.0,-0.1082407407407406,0.9729717025699172,0.0,0.0,0.0,0.0,0.0,0.0,3.950675700261739,0.0,0.0,0.0,11.969062736205592,5.548167044595616,0.0,0.0,0.0,0.0,0.0
CHEMBL103040,0.0,3.948636705256024,2.1375154320987653,7.07510130595448,1.1575141723356006,0.0,0.7595427059712777,0.95255220143613,0.0,0.0,0.0,0.0,0.0,0.0,3.92357436281318,0.0,0.0,0.0,11.761284958427815,5.450944822373394,0.0,0.0,0.0,0.0,0.0
CHEMBL103685,3.820422808012094,5.638286648566682,0.0,7.180758692365835,0.1179280045351465,0.0,-0.1244444444444443,0.9567679988662134,0.0,-0.5968381519274375,0.0,0.0,0.0,0.0,3.9817868113728494,0.0,0.0,0.0,12.290821995464851,5.651176303854875,0.0,0.0,0.0,0.0,0.0
CHEMBL104,0.0,0.0,0.0,34.47440980095742,0.0,0.0,0.0,4.009789619551526,0.0,-0.585949074074074,0.0,0.0,0.0,0.0,4.314171390778534,0.0,2.1238888888888887,0.0,0.0,0.0,0.0,0.0,0.0,6.691467151675484,0.0
