molecule_chembl_id,EStateC_0,EStateC_1,EStateC_2,EStateC_3,EStateC_4,EStateC_5,EStateC_6,EStateC_7,EStateC_8,EStateC_9,EStateC_10,EStateC_11,EStateC_12,EStateC_13,EStateC_14,EStateC_15,EStateC_16,EStateC_17,EStateC_18,EStateC_19,EStateC_20,EStateC_21,EStateC_22,EStateC_23,EStateC_24,EStateC_25,EStateC_26,EStateC_27,EStateC_28,EStateC_29,EStateC_30,EStateC_31,EStateC_32,EStateC_33,EStateC_34,EStateC_35,EStateC_36,EStateC_37,EStateC_38,EStateC_39,EStateC_40,EStateC_41,EStateC_42,EStateC_43,EStateC_44,EStateC_45,EStateC_46,EStateC_47,EStateC_48,EStateC_49,EStateC_50,EStateC_51,EStateC_52,EStateC_53,EStateC_54,EStateC_55,EStateC_56,EStateC_57,EStateC_58,EStateC_59,EStateC_60,EStateC_61,EStateC_62,EStateC_63,EStateC_64,EStateC_65,EStateC_66,EStateC_67,EStateC_68,EStateC_69,EStateC_70,EStateC_71,EStateC_72,EStateC_73,EStateC_74,EStateC_75,EStateC_76,EStateC_77,EStateC_78
CHEMBL1688918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.90695610997687,-0.3215420702767393,0.0,2.134476558693028,0.0,3.516461275415621,1.2155211482741248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.146764155862815,0.0,0.0,4.180321295597027,0.0,0.0,1.9206096991265642,0.0,0.0,12.504246693295213,5.901213679991153,5.517081242404114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL1688919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.964143441788053,-0.32444880524651554,0.0,0.0,0.0,2.8550873005507955,1.306187064331906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.151334300265786,0.0,0.0,1.9030787037037036,0.0,0.0,12.971536001376371,5.857824397907821,5.702374102418744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL1689257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6091895539009755,0.0,2.2792294998982747,10.228290811074732,-10.521309984987408,0.0,0.0,-0.9528517190214514,0.5089109582189734,0.0,-2.020511598695364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.03025670902657,12.62055651744383,28.019951694276138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL1689258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7357194838945524,0.0,2.3446754486646193,8.046533035786936,-10.888311176109053,0.0,0.0,-0.8549987222173365,-0.4050131590870727,0.0,-2.0236924498620366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.92554033310033,12.27776970873489,27.563216464883276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL1689259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9950625987795154,0.0,2.232581429352817,7.9532172676611665,-10.873840137191426,0.0,0.0,-0.998263873263648,-0.5472723554018157,0.0,-2.061256246455318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.62786408685453,12.809146907732071,28.102885519491135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL169,0.0,0.0,0.0,0.0,0.0,0.0,16.95041687830337,0.0,9.274346043437838,0.0,2.5636285903250187,0.0,2.1725938203628035,0.0,0.0,0.978026481553494,0.0,0.0,-0.06104328995652897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.410935547618777,12.794429261688567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL169086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7780725623582767,0.0,1.9681944444444444,11.44794732090367,0.0,0.0,0.0,1.0631481481481488,3.070556500377929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.019654982363316,0.0,0.0,0.0,0.0,0.0,12.258904950869237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5601877572016458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL169251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7230914588057447,0.0,1.8698148148148148,11.227138054295793,0.0,0.0,0.0,0.9774537037037043,2.7962450396825402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8863035399344925,0.0,0.0,0.0,4.116585097001764,0.0,0.0,0.0,0.0,0.0,12.236701625094483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL169449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4558430177626607,0.0,0.0,12.177782318174183,-1.304485071806501,0.0,0.0,2.8344671207936045e-06,2.247238231712439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.015684523809524,0.0,0.0,0.0,0.0,10.317941232048376,12.423326247165534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL169664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4558430177626607,0.0,0.0,12.552782318174183,-1.304485071806501,0.0,0.0,2.8344671207936045e-06,2.247238231712439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.640684523809524,0.0,0.0,0.0,0.0,10.317941232048376,12.423326247165534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
